seqname,source,feature,start,end,score,strand,frame,gene_id,gene_version,gene_name,gene_source,gene_biotype,transcript_id,transcript_version,transcript_name,transcript_source,transcript_biotype,tag,transcript_support_level,exon_number,exon_id,exon_version,protein_id,protein_version,ccds_id
1,ensembl_havana,transcript,3069203,3438621,,+,0,ENSG00000142611,17,PRDM16,ensembl_havana,protein_coding,ENST00000270722,10,PRDM16-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS41236
1,havana,transcript,2403974,2412564,,-,0,ENSG00000157911,11,PEX10,ensembl_havana,protein_coding,ENST00000447513,7,PEX10-202,havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS44045
1,ensembl_havana,transcript,10474950,10630758,,+,0,ENSG00000142655,13,PEX14,ensembl_havana,protein_coding,ENST00000356607,9,PEX14-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS30582
1,ensembl_havana,transcript,2476289,2505532,,+,0,ENSG00000149527,18,PLCH2,ensembl_havana,protein_coding,ENST00000378486,8,PLCH2-203,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS59959
1,ensembl_havana,transcript,9292894,9369532,,+,0,ENSG00000171621,14,SPSB1,ensembl_havana,protein_coding,ENST00000328089,11,SPSB1-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS102
1,ensembl_havana,transcript,9035106,9069635,,-,0,ENSG00000142583,18,SLC2A5,ensembl_havana,protein_coding,ENST00000377424,9,SLC2A5-202,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS99
1,ensembl_havana,transcript,9943475,9985498,,+,0,ENSG00000173614,14,NMNAT1,ensembl_havana,protein_coding,ENST00000377205,6,NMNAT1-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS108
1,ensembl_havana,transcript,11479155,11537551,,+,0,ENSG00000204624,8,DISP3,ensembl_havana,protein_coding,ENST00000294484,7,DISP3-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS41247
1,ensembl_havana,transcript,2590639,2633016,,-,0,ENSG00000142606,16,MMEL1,ensembl_havana,protein_coding,ENST00000378412,8,MMEL1-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",2,,,,,,CCDS30569
1,ensembl_havana,transcript,15153747,15220478,,+,0,ENSG00000171729,14,TMEM51,ensembl_havana,protein_coding,ENST00000376008,3,TMEM51-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",2,,,,,,CCDS154
1,ensembl_havana,transcript,16246840,16352480,,-,0,ENSG00000037637,11,FBXO42,ensembl_havana,protein_coding,ENST00000375592,8,FBXO42-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS30613
1,ensembl_havana,transcript,18871430,18902555,,-,0,ENSG00000159423,17,ALDH4A1,ensembl_havana,protein_coding,ENST00000375341,8,ALDH4A1-202,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS188
1,ensembl_havana,transcript,2391841,2405436,,+,0,ENSG00000157916,20,RER1,ensembl_havana,protein_coding,ENST00000605895,6,RER1-209,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS41232
1,ensembl_havana,transcript,2508537,2526596,,-,0,ENSG00000157881,16,PANK4,ensembl_havana,protein_coding,ENST00000378466,9,PANK4-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS42
1,ensembl_havana,transcript,12230030,12512047,,+,0,ENSG00000048707,15,VPS13D,ensembl_havana,protein_coding,ENST00000620676,6,VPS13D-214,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS30588
1,ensembl_havana,transcript,9997228,10016021,,+,0,ENSG00000162444,12,RBP7,ensembl_havana,protein_coding,ENST00000294435,8,RBP7-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS109
1,ensembl_havana,transcript,9100305,9129102,,-,0,ENSG00000180758,12,GPR157,ensembl_havana,protein_coding,ENST00000377411,5,GPR157-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS100
1,ensembl_havana,transcript,22451851,22531154,,+,0,ENSG00000184677,18,ZBTB40,ensembl_havana,protein_coding,ENST00000375647,5,ZBTB40-202,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS224
1,ensembl_havana,transcript,5862811,5992425,,-,0,ENSG00000131697,18,NPHP4,ensembl_havana,protein_coding,ENST00000378156,9,NPHP4-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS44052
1,ensembl_havana,transcript,2528745,2530263,,-,0,ENSG00000197921,6,HES5,ensembl_havana,protein_coding,ENST00000378453,4,HES5-201,ensembl_havana,protein_coding,"CCDS,basic,Ensembl_canonical,MANE_Select",1,,,,,,CCDS41233
